ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000725.SZ,2025-10-23,4.02,4.05,4.0,4.05,4.02,0.03,0.7463,3398282.22,1368731.171
000725.SZ,2025-10-24,4.05,4.07,4.03,4.05,4.05,0.0,0.0,2712257.72,1098279.999
000725.SZ,2025-10-27,4.07,4.08,4.05,4.07,4.05,0.02,0.4938,3887685.98,1580741.526
000725.SZ,2025-10-28,4.06,4.07,4.04,4.06,4.07,-0.01,-0.2457,3409723.06,1383148.119
000725.SZ,2025-10-29,4.05,4.08,4.04,4.07,4.06,0.01,0.2463,3518629.4,1428652.705
000725.SZ,2025-10-30,4.07,4.14,4.06,4.09,4.07,0.02,0.4914,6314409.17,2588031.798
000725.SZ,2025-10-31,4.1,4.12,4.05,4.06,4.09,-0.03,-0.7335,5405928.41,2205281.357
000725.SZ,2025-11-03,4.06,4.07,4.03,4.06,4.06,0.0,0.0,3778568.28,1528023.305
000725.SZ,2025-11-04,4.05,4.06,4.0,4.0,4.06,-0.06,-1.4778,4983636.31,2003625.535
000725.SZ,2025-11-05,3.99,4.02,3.96,4.0,4.0,0.0,0.0,4124789.74,1645610.522
000725.SZ,2025-11-06,4.0,4.02,3.99,4.0,4.0,0.0,0.0,3145668.56,1259635.603
000725.SZ,2025-11-07,4.0,4.02,3.98,4.01,4.0,0.01,0.25,3042867.42,1218198.534
000725.SZ,2025-11-10,4.01,4.07,3.99,4.06,4.01,0.05,1.2469,5715496.57,2306375.737
000725.SZ,2025-11-11,4.07,4.07,4.03,4.04,4.06,-0.02,-0.4926,3508117.1,1419617.895
000725.SZ,2025-11-12,4.04,4.06,4.01,4.04,4.04,0.0,0.0,4891171.08,1972766.4
000725.SZ,2025-11-13,4.03,4.05,4.02,4.04,4.04,0.0,0.0,3840009.65,1548913.679
000725.SZ,2025-11-14,4.02,4.03,3.99,4.0,4.04,-0.04,-0.9901,3937048.65,1579251.592
000725.SZ,2025-11-17,3.99,4.0,3.96,3.96,4.0,-0.04,-1.0,4118776.81,1637454.772
000725.SZ,2025-11-18,3.96,3.97,3.92,3.93,3.96,-0.03,-0.7576,4187631.5,1649319.682
000725.SZ,2025-11-19,3.92,3.94,3.88,3.92,3.93,-0.01,-0.2545,4432660.9,1731734.666
000725.SZ,2025-11-20,3.92,3.94,3.9,3.9,3.92,-0.02,-0.5102,3542675.23,1388610.092
000725.SZ,2025-11-21,3.88,3.89,3.82,3.83,3.9,-0.07,-1.7949,5257286.69,2027238.704
000725.SZ,2025-11-24,3.84,3.85,3.79,3.82,3.83,-0.01,-0.2611,4752872.61,1815626.625
000725.SZ,2025-11-25,3.83,3.87,3.82,3.85,3.82,0.03,0.7853,3576158.39,1378973.13
000725.SZ,2025-11-26,3.86,3.88,3.85,3.86,3.85,0.01,0.2597,2765761.3,1068537.512
000725.SZ,2025-11-27,3.86,3.87,3.83,3.84,3.86,-0.02,-0.5181,2477697.57,953888.296
000725.SZ,2025-11-28,3.84,3.86,3.82,3.86,3.84,0.02,0.5208,2353449.96,904344.536
000725.SZ,2025-12-01,3.86,3.91,3.85,3.9,3.86,0.04,1.0363,3655252.97,1419026.262
000725.SZ,2025-12-02,3.9,3.91,3.87,3.88,3.9,-0.02,-0.5128,3142161.27,1221233.044
000725.SZ,2025-12-03,3.89,4.08,3.88,4.03,3.88,0.15,3.866,13007301.82,5204396.132
000725.SZ,2025-12-04,4.02,4.08,4.01,4.05,4.03,0.02,0.4963,7947714.47,3219445.781
000725.SZ,2025-12-05,4.05,4.26,4.04,4.26,4.05,0.21,5.1852,19001402.69,7914360.386
000725.SZ,2025-12-08,4.26,4.35,4.2,4.21,4.26,-0.05,-1.1737,11891016.05,5049918.352
000725.SZ,2025-12-09,4.2,4.23,4.15,4.17,4.21,-0.04,-0.9501,7528102.84,3147923.505
000725.SZ,2025-12-10,4.17,4.24,4.15,4.18,4.17,0.01,0.2398,6945594.86,2901766.002
000725.SZ,2025-12-11,4.18,4.19,4.1,4.11,4.18,-0.07,-1.6746,5553656.32,2295224.945
000725.SZ,2025-12-12,4.12,4.16,4.09,4.14,4.11,0.03,0.7299,7000578.24,2891234.201
000725.SZ,2025-12-15,4.11,4.18,4.1,4.13,4.14,-0.01,-0.2415,7297572.0,3022341.196
000725.SZ,2025-12-16,4.14,4.18,4.11,4.14,4.13,0.01,0.2421,7693817.68,3191279.29
000725.SZ,2025-12-17,4.14,4.19,4.13,4.17,4.14,0.03,0.7246,7090169.91,2949819.938
000725.SZ,2025-12-18,4.15,4.16,4.07,4.11,4.17,-0.06,-1.4388,6223879.6,2554903.593
000725.SZ,2025-12-19,4.12,4.13,4.09,4.09,4.11,-0.02,-0.4866,4307934.25,1769824.923
000725.SZ,2025-12-22,4.09,4.1,4.03,4.04,4.09,-0.05,-1.2225,6908224.0,2803120.679
000725.SZ,2025-12-23,4.05,4.06,4.02,4.04,4.04,0.0,0.0,5196733.75,2097091.502
000725.SZ,2025-12-24,4.03,4.07,4.0,4.06,4.04,0.02,0.495,5238621.62,2114407.39
000725.SZ,2025-12-25,4.05,4.08,4.05,4.06,4.06,0.0,0.0,3543810.01,1440968.281
000725.SZ,2025-12-26,4.06,4.07,4.03,4.04,4.06,-0.02,-0.4926,3746384.52,1517451.545
000725.SZ,2025-12-29,4.05,4.2,4.04,4.13,4.04,0.09,2.2277,9222853.57,3810078.209
000725.SZ,2025-12-30,4.12,4.2,4.11,4.17,4.13,0.04,0.9685,6100018.37,2542195.065
000725.SZ,2025-12-31,4.17,4.27,4.15,4.21,4.17,0.04,0.9592,8178798.46,3445261.537
000725.SZ,2026-01-05,4.22,4.27,4.19,4.23,4.21,0.02,0.4751,8507615.74,3594432.719
000725.SZ,2026-01-06,4.24,4.54,4.23,4.5,4.23,0.27,6.383,21037707.63,9305295.623
000725.SZ,2026-01-07,4.45,4.47,4.33,4.36,4.5,-0.14,-3.1111,12759382.61,5580739.006
000725.SZ,2026-01-08,4.35,4.39,4.32,4.35,4.36,-0.01,-0.2294,6804691.24,2961903.546
000725.SZ,2026-01-09,4.34,4.54,4.33,4.41,4.35,0.06,1.3793,10734673.84,4769330.499
